Designator,Val,Package,MidX,MidY,Rotation,Layer
J2,DB9_Female,DB9_ASSMANN,-63.575000,-14.180000,270.000000,top
R1,1K_1%,R0603,-0.025,-4.8,270,top
R2,1K_1%,R0603,-2.565,-4.8,270,top
R3,1K_1%,R0603,-7.645,-4.8,270,top
R4,1K_1%,R0603,-10.185,-4.8,270,top
R5,1K_1%,R0603,-12.725,-4.8,270,top
R6,1K_1%,R0603,-16,-4.35,180,top
R7,1K_1%,R0603,-20.32,-4.87,270,top
R8,100K_0.1%,R0603,-2.9,-16.2,180,top
R9,110K_0.1%,R0603,-7.9,-16.2,180,top
R10,120K_0.1%,R0603,-12.9,-16.2,180,top
R11,130K_0.1%,R0603,-17.9,-16.2,180,top
R12,140K_0.1%,R0603,-22.925,-16.2,180,top
R13,150K_0.1%,150K_0.1,-28.12,-16.06,180,top
R14,160K_0.1%,160K_0.1,-33.11,-16.08,180,top
R15,1K_1%,R0603,-23.64,-4.54,180,top
R16,1K_1%,R0603,-25.425,1.775,90,top
R17,180K_0.1%,180K_0.1,-38.75,-16.21,180,top
R18,200K_0.1%,R0603,-17.6,13.5,180,top
R19,1K_1%,R0603,-27.965,1.775,90,top
R20,1K_1%,R0603,-33.045,1.775,90,top
R21,1K_1%,R0603,-35.585,1.775,90,top
R22,1K_1%,R0603,-38.125,1.775,90,top
R23,1K_1%,R0603,-40.665,1.775,90,top
R24,1K_1%,R0603,-45.745,1.775,90,top
R25,1K_1%,R0603,-48.285,1.775,90,top
R26,100K_0.1%,R0603,-21.475,13.65,180,top
R27,110K_0.1%,R0603,-26.4426,13.629,180,top
R28,120K_0.1%,R0603,-31.421,13.629,180,top
R29,130K_0.1%,R0603,-36.4248,13.629,180,top
R30,140K_0.1%,R0603,-41.4794,13.625,180,top
R31,150K_0.1%,150K_0.1,-58.06,8.95,270,top
R32,160K_0.1%,160K_0.1,-55.55,8.95,270,top
R33,1K_1%,R0603,-48.285,-22.33,270,top
R34,1K_1%,R0603,-45.745,-22.33,270,top
R35,180K_0.1%,180K_0.1,-53.49,-30.46,270,top
R36,200K_0.1%,R0603,-46.525,-33.45,180,top
U1,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-0.875,-11.325,180,top
U2,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-5.875,-11.325,180,top
U3,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-10.875,-11.325,180,top
U4,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-15.875,-11.325,180,top
U5,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-20.875,-11.325,180,top
U6,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-25.875,-10.85,180,top
U7,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-30.875,-10.85,180,top
U8,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-35.875,-10.85,180,top
U9,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-17,8.575,0,top
U10,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-22,8.575,0,top
U11,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-27,8.575,0,top
U12,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-32,8.575,0,top
U13,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-37,8.575,0,top
U14,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-42,8.575,0,top
U15,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-47,8.575,0,top
U16,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-52,8.575,0,top
U17,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-49.525,-28.3,180,top
U18,KAQY212S,SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,-44.525,-28.3,180,top
